S,X,Y
1,a,13.211289798
2,b,9.3769661662
3,a,9.8321095714
4,b,13.241822666
5,a,15.290762617
6,b,11.926718862
7,a,16.513046407
8,b,11.817017457
9,a,14.405615461
10,b,7.1865401513
11,a,14.620503723
12,b,9.2002297302
13,a,13.619696288
14,b,8.9891899857
15,a,10.055274142
16,b,12.827597653
17,a,16.13643363
18,b,11.604144262
19,a,12.451787736
20,b,11.255571892
21,a,12.266421008
22,b,11.833200255
23,a,12.352958944
24,b,11.462900154
25,a,18.511671814
26,b,12.665052675
27,a,15.74682837
28,b,9.9652870015
29,a,14.754536986
30,b,8.7957746824
31,a,15.116136907
32,b,11.937872427
33,a,16.502285166
34,b,15.533572614
35,a,12.98596475
36,b,9.4620801915
37,a,15.791877345
38,b,9.3651764675
39,a,13.835514309
40,b,9.6554998937
41,a,14.846259481
42,b,10.22460854
43,a,13.887605278
44,b,12.99871065
45,a,17.131130918
46,b,11.294930255
47,a,17.280446041
48,b,11.647610426
49,a,14.714903811
50,b,12.762990684
51,a,18.692904472
52,b,10.019709965
53,a,16.320764447
54,b,12.419105619
55,a,13.557077716
56,b,8.7490435697
57,a,15.574381986
58,b,11.200843076
59,a,12.824595611
60,b,10.864780404
