S,X,Y
1,a,8.8335687561
1,b,11.849632053
1,c,7.9090406429
2,a,15.361963684
2,b,10.177478055
2,c,13.245308019
3,a,10.820554602
3,b,9.240198636
3,c,14.307353328
4,a,13.089308562
4,b,13.276903951
4,c,11.68316121
5,a,12.229720876
5,b,10.44220011
5,c,7.4255390649
6,a,15.471203281
6,b,10.401900802
6,c,14.725701866
7,a,14.398176724
7,b,10.755234663
7,c,10.479772377
8,a,13.158232497
8,b,12.624928979
8,c,8.3769785943
9,a,14.14393378
9,b,12.889050543
9,c,10.933256829
10,a,16.32819843
10,b,11.564609523
10,c,12.773829019
11,a,14.979619704
11,b,12.472811529
11,c,14.33034273
12,a,16.383540945
12,b,15.207858691
12,c,9.8949169046
13,a,11.915063718
13,b,10.849713837
13,c,9.8816747751
14,a,11.912927623
14,b,11.927400616
14,c,10.323543066
15,a,16.036731385
15,b,16.230552715
15,c,7.7575136224
16,a,17.249564506
16,b,9.6023043644
16,c,17.267569542
17,a,21.223711295
17,b,15.311990822
17,c,13.32339652
18,a,16.399051622
18,b,11.230058002
18,c,8.6237997715
19,a,12.050392783
19,b,9.7011993179
19,c,10.742841205
20,a,8.9078965787
20,b,13.188855291
20,c,13.914788663
