S,X,Y
1,a,11.479751158
1,b,10.860801559
2,a,13.76313273
2,b,9.6097354563
3,a,12.058957708
3,b,9.2294864014
4,a,12.173675165
4,b,12.112978345
5,a,10.017150251
5,b,10.366384814
6,a,12.709974152
6,b,11.641990913
7,a,11.254306754
7,b,9.5414143098
8,a,13.498748329
8,b,8.973835825
9,a,13.015273402
9,b,8.0150893512
10,a,13.549128372
10,b,9.171968074
11,a,13.494564098
11,b,10.624516758
12,a,9.6927921204
12,b,11.053878094
13,a,9.7258447551
13,b,11.878534805
14,a,11.241513509
14,b,9.8498271238
15,a,10.961547672
15,b,11.580107694
16,a,10.08633957
16,b,11.42975097
17,a,11.888433515
17,b,12.521462769
18,a,10.832467539
18,b,11.517951478
19,a,13.948464107
19,b,10.427360294
20,a,11.976194269
20,b,9.900843326
21,a,11.380935194
21,b,12.10439043
22,a,13.735435379
22,b,9.0326241551
23,a,10.500884386
23,b,12.725079526
24,a,13.367440613
24,b,12.916083653
25,a,12.149047288
25,b,10.338169735
26,a,9.8253036567
26,b,12.484642775
27,a,11.948111573
27,b,11.910959327
28,a,11.488891733
28,b,9.511536031
29,a,12.161957215
29,b,9.8341908185
30,a,9.3639051446
30,b,10.920104389
