S,X,Y
1,a,14.31276094
2,b,16.326528724
3,a,8.113885913
4,b,14.340093397
5,a,13.245521896
6,b,17.588067293
7,a,8.8894593343
8,b,10.02100438
9,a,13.282138541
10,b,10.186563981
11,a,14.295128644
12,b,9.3581566627
13,a,8.7162434086
14,b,10.497703215
15,a,15.976035682
16,b,15.436113224
17,a,13.384939507
18,b,15.940214106
19,a,15.292024041
20,b,11.479019549
21,a,10.74616324
22,b,13.459017078
23,a,15.710357852
24,b,16.522182857
25,a,14.863085423
26,b,16.881799511
27,a,14.071216408
28,b,16.421973546
29,a,9.7152769994
30,b,13.769988484
31,a,13.947972294
32,b,9.9264062899
33,a,13.310302
34,b,15.658432567
35,a,8.4699943513
36,b,17.365594488
37,a,8.8056166992
38,b,17.959392127
39,a,12.837787852
40,b,17.340888677
41,a,8.0811732356
42,b,15.560598463
43,a,15.943232121
44,b,12.446209615
45,a,11.567722818
46,b,17.906397179
47,a,15.755277723
48,b,14.155403454
49,a,12.348295059
50,b,9.8663731024
51,a,9.44523995
52,b,17.042781306
53,a,14.595405122
54,b,9.4231465473
55,a,11.759247478
56,b,9.9870634598
57,a,15.079539798
58,b,15.67986177
59,a,11.111473842
60,b,14.529852723
